"","ID","N","a","b","sd","signal"
"1",10001,100,5.11215781792998,-7.48805077280849,0.421430001733825,0
"2",10002,200,1.59679112955928,-0.745657384395599,0.112215352114563,0
"3",10003,300,-3.56804492417723,2.42286247666925,0.534360701451078,0
"4",10004,400,1.08151712920517,4.54680261202157,0.800784521969035,0
"5",10005,500,5.11737179942429,4.17518869042397,0.250258849468082,0
"6",10006,100,-3.93051231279969,-3.46011787652969,0.218417667318135,0
"7",10007,200,-7.65935158357024,4.41152031999081,0.385678711580113,0
"8",10008,300,4.80448506306857,-3.60033927951008,0.425339824287221,0
"9",10009,400,-0.405214177444577,-1.32996974047273,0.88920691004023,0
"10",10010,500,8.41380530502647,-0.496833194047213,0.42693431925933,0
"11",10011,100,-6.62280234508216,-6.48042628541589,0.667014212347567,0
"12",10012,200,5.79891480505466,8.05630011949688,0.401453024707735,0
"13",10013,300,0.0275777606293559,7.91684385854751,0.0191801592075532,0
"14",10014,400,3.97837231867015,5.80187200568616,0.667062610853463,0
"15",10015,500,8.41000026091933,-3.22540861554444,0.895584660349414,0
"16",10016,100,2.22931571304798,-7.66804266255349,0.081875333795324,0
"17",10017,200,-9.4838360324502,-0.497524081729352,0.696622743969783,0
"18",10018,300,-0.51301752217114,8.24981684330851,0.475486779626066,0
"19",10019,400,-7.98905367963016,-3.24075625278056,0.630997218191624,0
"20",10020,500,-0.391949005424976,-7.73044795263559,0.239909198833629,0
"21",10021,100,9.29444968234748,0.324981631711125,0.0703144252615165,0
"22",10022,200,-6.06332219671458,8.72567102778703,0.55630088201724,0
"23",10023,300,-5.83110192324966,1.29626377485693,0.389057117979974,0
"24",10024,400,-9.96709865983576,5.69195589981973,0.0821488001383841,0
"25",10025,500,-1.14493782166392,7.57782902102917,0.106755134649575,0
"26",10026,100,-1.75015543587506,4.8329518828541,0.219612578162923,0
"27",10027,200,6.67955093085766,-7.26637674029917,0.800608318764716,0
"28",10028,300,-7.69463225733489,-8.70395859703422,0.297949423082173,0
"29",10029,400,-4.76814091671258,-6.43530408851802,0.172463304596022,0
"30",10030,500,-2.02534211333841,5.1996902236715,0.69202818442136,0
"31",10031,100,-8.53483084123582,3.6254815524444,0.409392017638311,0
"32",10032,200,1.596424956806,2.12405364494771,0.427418722305447,0
"33",10033,300,-6.1057539191097,-1.00863203871995,0.317615568637848,0
"34",10034,400,-4.7561893099919,-8.47493760753423,0.791985406307504,0
"35",10035,500,8.87941256165504,5.55086114443839,0.863572831265628,0
"36",10036,100,-4.32007796131074,-2.62108019087464,0.606999556766823,0
"37",10037,200,3.41718004085124,-1.7486549122259,0.982806018553674,0
"38",10038,300,3.45767729450017,-0.958956964313984,0.591237177350134,0
"39",10039,400,4.17866421397775,4.66461871750653,0.193865556502715,0
"40",10040,500,7.6737432833761,9.01390969753265,0.949617057107389,0
"41",10041,100,-9.04353376943618,-9.20129750855267,0.123003496322781,0
"42",10042,200,-6.63019636645913,3.80537254735827,0.884022460319102,0
"43",10043,300,-8.46891881432384,-3.43655932694674,0.543236932018772,0
"44",10044,400,1.77673679310828,9.52481487765908,0.395008428487927,0
"45",10045,500,-5.53852254990488,0.327365412376821,0.7610745690763,0
"46",10046,100,-0.405189907178283,-8.57709112111479,0.538126340368763,0
"47",10047,200,-1.71082185581326,-2.59852454997599,0.650450924178585,0
"48",10048,300,-3.81097519304603,-3.77341759391129,0.850349102867767,0
"49",10049,400,1.7605453543365,-7.57781807798892,0.648490314604715,0
"50",10050,500,1.09161044005305,-7.21613359637558,0.34283447638154,0
"51",10051,100,-0.781847639009356,5.99393368698657,0.209840812787042,0
"52",10052,200,3.82144067436457,-1.45043620839715,0.533811883535236,0
"53",10053,300,9.9830315541476,-9.48404147755355,0.430192056810483,0
"54",10054,400,-6.01976270321757,2.93617336079478,0.673283954849467,0
"55",10055,500,-2.81723182182759,-7.33206591103226,0.64060548809357,0
"56",10056,100,6.62195418030024,7.23227680195123,0.37244062195532,0
"57",10057,200,0.68747179582715,-1.94844183046371,0.315745037514716,0
"58",10058,300,1.85582033358514,4.17421041522175,0.139251841465011,0
"59",10059,400,-1.95753842126578,-3.81620180793107,0.446954862447456,0
"60",10060,500,-0.809917645528913,-9.78088034782559,0.7621028451249,0
"61",10061,100,8.73106993734837,-3.81131108850241,0.178211751626804,0
"62",10062,200,6.51754986960441,-9.30182138457894,0.0876978130545467,0
"63",10063,300,5.54730905685574,-1.9510765792802,0.502282400848344,0
"64",10064,400,-5.34414808265865,-6.45038450602442,0.323573134839535,0
"65",10065,500,2.92802867945284,7.81194034963846,0.803797545842826,0
"66",10066,100,4.30984570644796,7.88376359269023,0.349526305217296,0
"67",10067,200,-6.42009407747537,-4.9272184446454,0.214975543087348,0
"68",10068,300,0.821037697605789,-1.25493003986776,0.614781151991338,0
"69",10069,400,9.49619275517762,-7.05978359561414,0.3312888876535,0
"70",10070,500,8.25103587470949,8.24245317839086,0.00712544075213373,0
"71",10071,100,-0.0947827147319913,2.97295034397393,0.00485574434919085,0
"72",10072,200,-8.61962747294456,9.92665197234601,0.269463181728497,0
"73",10073,300,-1.63479794748127,-6.15993559360504,0.672677191672847,0
"74",10074,400,-0.471653509885073,4.77782434318215,0.350402508754346,0
"75",10075,500,7.10931615903974,-9.13824063260108,0.242388731567189,0
"76",10076,100,2.43219244293869,6.55601976439357,0.316610465059057,0
"77",10077,200,-7.93026738334447,-1.07788431923836,0.397765338188037,0
"78",10078,300,4.46500923018903,9.62570337578654,0.791366358986124,0
"79",10079,400,-9.12194435950369,-7.42468589451164,0.37263694521971,0
"80",10080,500,-4.45346087217331,-9.23260586336255,0.314662891672924,0
"81",10081,100,0.17124499194324,5.485252677463,0.0106839272180912,0
"82",10082,200,-2.91791134979576,6.33028022479266,0.846098535228521,0
"83",10083,300,7.07312585785985,3.00947666168213,0.684249899117276,0
"84",10084,400,-3.82850193884224,4.16088513098657,0.539920044364408,0
"85",10085,500,-0.573560739867389,3.90826337039471,0.0612063521040351,0
"86",10086,100,-6.36244035325944,6.62284313235432,0.035808841465041,0
"87",10087,200,-2.67698269803077,-7.29977199807763,0.215859554475173,0
"88",10088,300,-1.6428459296003,-3.89936775434762,0.192319887923077,0
"89",10089,400,0.461563267745078,-8.34033131133765,0.802051712293178,0
"90",10090,500,-5.7434146432206,9.52472092583776,0.985083584440872,0
"91",10091,100,-0.745686525478959,-5.76959013007581,0.676815703045577,0
"92",10092,200,-2.41122443694621,2.14411485008895,0.889063319424167,0
"93",10093,300,-7.95356323476881,2.04347779043019,0.682623279746622,0
"94",10094,400,7.53036097157747,-6.26967322546989,0.326243486488238,0
"95",10095,500,-7.72874363698065,4.39045001752675,0.775788336293772,0
"96",10096,100,-8.33388659637421,-6.91143645439297,0.110763546079397,0
