"","ID","a","b","sd","signal"
"1",1,-8.07965965010226,-5.6218374427408,0.984208863228559,0
"2",2,-4.53293094411492,-5.46203881967813,4.04649105388671,0
"3",3,-5.81025197636336,-3.84069220162928,5.04444939084351,0
"4",4,-4.72309469245374,-9.09333890303969,4.37675543827936,0
"5",5,2.00469971168786,-7.33213690575212,5.76680291909724,0
"6",6,-3.34169094916433,-9.16900056414306,4.84421372413635,0
"7",7,2.91951761581004,-0.013293526135385,5.52762826438993,0
"8",8,8.22904435917735,9.44441358093172,2.12203398812562,0
"9",9,3.12593143433332,1.07711791060865,5.36537076579407,0
"10",10,3.52140562608838,8.95246251020581,3.09763892088085,0
"11",11,0.335159380920231,-6.24377706088126,0.927179604768753,0
"12",12,5.77203136868775,-2.44833935517818,8.91440787585452,0
"13",13,2.4312328081578,-4.08355284947902,3.99593288311735,0
"14",14,-9.06650305259973,5.7976182224229,4.63177818572149,0
"15",15,-0.00679309014230967,-7.35229511279613,4.51617210870609,0
"16",16,8.63318888470531,6.80701045785099,1.30264928098768,0
"17",17,-7.48644643928856,0.284931561909616,8.55517829302698,0
"18",18,4.17663072701544,-6.1131300451234,1.54752396047115,0
"19",19,-7.11449800524861,-6.5396623313427,7.77991569135338,0
"20",20,5.53898076992482,-5.23999756202102,1.34399532107636,0
"21",21,1.20237972121686,9.59679218940437,3.96224350901321,0
"22",22,-5.72274664416909,-7.21822797320783,5.98688297672197,0
"23",23,-5.09118509944528,-6.04548497591168,4.91476935334504,0
"24",24,4.55861514434218,-2.07084617577493,8.69705919409171,0
"25",25,8.5205553425476,4.083356205374,7.12749375961721,0
"26",26,0.7691251905635,6.95941960904747,6.82600119849667,0
"27",27,1.42086404375732,-4.28948238026351,4.21515793073922,0
"28",28,-2.25758600048721,3.06995520368218,9.34551782207564,0
"29",29,3.22055549826473,-1.41552301123738,9.96686564991251,0
"30",30,-9.49248811695725,5.13505748938769,0.685479938983917,0
"31",31,7.49073810875416,2.71924805827439,4.90940844640136,0
"32",32,7.7746909763664,-0.991530157625675,7.72650645114481,0
"33",33,7.67637091688812,-4.67292992398143,4.62290381081402,0
"34",34,1.18794162292033,5.44079301413149,6.98819090379402,0
"35",35,-5.00370103400201,0.813919738866389,4.21337517909706,0
"36",36,0.719025912694633,1.21792442165315,8.60376168740913,0
"37",37,5.40779063012451,-6.83869837783277,5.21230166545138,0
"38",38,9.35516776051372,4.99254959169775,6.20217381510884,0
"39",39,6.36346927843988,6.60689788404852,1.13307731226087,0
"40",40,4.13411325775087,-9.88750653341413,3.67636188864708,0
"41",41,5.58913005050272,-4.31460049934685,1.35810340754688,0
"42",42,-4.6045065112412,3.59140759333968,3.15860392292961,0
"43",43,-7.94467516709119,8.39856036007404,0.571529327426106,0
"44",44,3.42951504513621,5.59926604386419,9.2366334493272,0
"45",45,-8.04368132725358,2.34212859068066,1.10595508245751,0
"46",46,-5.53676996380091,4.76667214650661,7.13022939860821,0
"47",47,-5.5645373929292,6.86394365504384,9.82273354427889,0
"48",48,2.84909659996629,-9.65682236477733,5.76685695443302,0
"49",49,5.519262207672,1.07169137336314,7.73811222752556,0
"50",50,5.19354063086212,4.43689818028361,3.68702708045021,0
"51",51,-5.26844368316233,-6.30343859549612,3.25428353389725,0
"52",52,9.38325950875878,2.35894431360066,8.00437216181308,0
"53",53,6.65996097493917,-1.0380752151832,8.52227334864438,0
"54",54,9.85533508472145,2.58290603756905,2.94750031549484,0
"55",55,0.836889282800257,8.89376176521182,3.93429395044222,0
"56",56,0.187568701803684,5.10422675870359,1.37211261084303,0
"57",57,6.06866553425789,4.01327257975936,8.70915635488927,0
"58",58,5.62461852561682,4.5725996280089,4.53136945143342,0
"59",59,4.3429954489693,-5.23285491857678,9.31095857406035,0
"60",60,-2.71974053233862,-2.62460740283132,8.36756917648017,0
"61",61,-9.08832079730928,-8.84118502959609,5.83225345006213,0
"62",62,2.01802580617368,-7.01451459899545,1.06578984530643,0
"63",63,-8.43974702525884,9.10518359392881,4.13799990899861,0
"64",64,1.86402710620314,3.14588207285851,8.74877733178437,0
"65",65,2.01948093716055,-1.63607818540186,0.622657779604197,0
"66",66,-8.57679862529039,6.98437960352749,4.96827298775315,0
"67",67,-3.79745860118419,8.60682098194957,0.110554131679237,0
"68",68,3.72398353647441,7.85113483667374,7.55710205528885,0
"69",69,-2.59886459447443,8.92230717465281,0.198985035531223,0
"70",70,-0.0656720297411084,8.2749907206744,8.13102209707722,0
"71",71,-9.07222314737737,-5.00080306548625,2.45855612447485,0
"72",72,-5.64434911124408,-8.68969195056707,5.54831242887303,0
"73",73,-5.35189884714782,1.14960602018982,8.31829510629177,0
"74",74,-7.34537126030773,8.10117402113974,2.19477914273739,0
"75",75,5.0904329167679,7.30048229917884,9.07528497977182,0
