"","set","x","y","in.lineup.ID","ID"
"1",1,0.757699894233951,0.327330760459979,1,1
"2",1,1.15814345519188,0.0275081398829046,1,1
"3",1,0.833568682312056,0.497184102618605,1,1
"4",1,-1.61922859176621,-1.45628896777428,1,1
"5",1,-1.54613911643457,-1.29394337486896,1,1
"6",1,0.628210690702643,0.379538224760903,1,1
"7",1,-0.389190882810716,1.77846538281215,1,1
"8",1,1.27133066429381,-0.338793185118188,1,1
"9",1,-0.77592277134927,1.17491288046929,1,1
"10",1,-1.15913411169261,-0.961059907903077,1,1
"11",1,-0.583297157227395,1.15375766567911,1,1
"12",1,0.848603288633907,0.373890700161965,1,1
"13",1,0.366806501976084,0.14645363500151,1,1
"14",1,0.899919268059181,-0.283401455547117,1,1
"15",1,-0.767452803807362,-0.903152943522016,1,1
"16",1,-0.693085229467843,-0.803639739542895,1,1
"17",1,-0.624048015202225,-0.585430554998201,1,1
"18",1,0.963586706675543,-0.0506153152167632,1,1
"19",1,0.933065655495816,0.688776241633824,1,1
"20",1,-0.380372036077518,-0.189139564872428,1,1
"21",1,-1.29763633325016,-1.59600161946648,1,1
"22",1,-0.246963838631047,0.26361647356972,1,1
"23",1,-0.714247567078991,1.33879235830902,1,1
"24",1,-0.104745012020432,0.0149016973210669,1,1
"25",1,0.770339612360006,-0.491362274524614,1,1
"26",1,-2.06273660219261,-1.82153566209283,1,1
"27",1,0.133620449255102,0.286006973190258,1,1
"28",1,0.220245524949358,0.499571426022792,1,1
"29",1,0.276437262563733,0.571942349944919,1,1
"30",1,0.375845994718533,0.559025801395044,1,1
"31",1,0.439618612569234,0.157887486316664,1,1
"32",1,0.522773756815253,0.591083153785185,1,1
"33",1,0.580927479128275,0.934367811443041,1,1
"34",1,-1.08630706477068,-2.27326358271487,1,1
"35",1,-0.968989813476328,0.231254189928456,1,1
"36",1,-1.5659607971689,-1.48326132083593,1,1
"37",1,0.874056091766673,0.236143519240787,1,1
"38",1,0.95637241279619,0.786070699018947,1,1
"39",1,0.456637618379366,-0.244318889911522,1,1
"40",1,1.15786335962361,0.333048623799394,1,1
"41",1,-1.48532420096611,-1.01053090604076,1,1
"42",1,-1.61242859791232,-2.00980007306337,1,1
"43",1,1.34033612338028,1.32449285357662,1,1
"44",1,1.42056628310028,1.33478985644196,1,1
"45",1,1.49663515432254,1.78472633123019,1,1
"46",1,-0.768146538337288,-1.06845254214308,2,2
"47",1,-1.66978743908546,-1.86942879386588,2,2
"48",1,-0.489153331743388,-0.915765725292454,2,2
"49",1,-1.53463202594572,-1.23520588747734,2,2
"50",1,1.19855217476146,0.335793395518805,2,2
"51",1,-0.853286369308057,-1.51882031359796,2,2
"52",1,0.241462320737599,1.2270291399104,2,2
"53",1,-1.21200222834573,-0.762560158030856,2,2
"54",1,-1.1267258000702,-1.0381916520604,2,2
"55",1,-1.0426786637681,-0.997745053876813,2,2
"56",1,1.19244861076042,0.435293621020701,2,2
